Dataseries,Datatype,start_year,end_year,year,flow,lower_flow,upper_flow,plotting_position
Paleo NEB,Threshold,-300,379,,60000,,,
Paleo NEB,Threshold,380,1274,,45000,,,
Paleo NEB,Threshold,1275,1279,,37000,,,
Paleo NEB,Threshold,1280,1709,,27000,,,
Paleo NEB,Threshold,1710,1861,,24000,,,
Paleo NEB,Threshold,1862,1926,,18000,,,
Paleo NEB,Threshold,1928,1929,,18000,,,
Paleo NEB,Threshold,1931,1933,,18000,,,
Paleo NEB,Threshold,1937,1937,,18000,,,
Paleo NEB,Threshold,1939,1939,,18000,,,
Paleo NEB,Threshold,1949,1949,,18000,,,
Paleo NEB,Threshold,1951,1951,,18000,,,
Paleo NEB,Threshold,1955,1955,,18000,,,
Historic,Interval,,,1862,18000,12000,23000,0.008333333
Systematic POR,Point,,,1927,5470,,,0.361029412
Systematic POR,Point,,,1930,3522,,,0.697941176
Systematic POR,Point,,,1934,4348,,,0.512058824
Systematic POR,Point,,,1935,4657,,,0.442352941
Systematic POR,Point,,,1936,4280,,,0.546911765
Systematic POR,Point,,,1938,4376,,,0.500441176
Systematic POR,Point,,,1940,2387,,,0.941911765
Systematic POR,Point,,,1941,1795,,,0.965147059
Systematic POR,Point,,,1942,3785,,,0.651470588
Systematic POR,Point,,,1943,9626,,,0.070588235
Systematic POR,Point,,,1944,2621,,,0.895441176
Systematic POR,Point,,,1945,4643,,,0.453970588
Systematic POR,Point,,,1946,9650,,,0.058970588
Systematic POR,Point,,,1947,8504,,,0.128676471
Systematic POR,Point,,,1948,6976,,,0.244852941
Systematic POR,Point,,,1950,4316,,,0.535294118
Systematic POR,Point,,,1952,3503,,,0.732794118
Systematic POR,Point,,,1953,8829,,,0.105441176
Systematic POR,Point,,,1954,7212,,,0.233235294
Systematic POR,Point,,,1956,10049,,,0.047352941
Systematic POR,Point,,,1957,7875,,,0.186764706
Systematic POR,Point,,,1958,5474,,,0.349411765
Systematic POR,Point,,,1959,3291,,,0.779264706
Systematic POR,Point,,,1960,2680,,,0.883823529
Systematic POR,Point,,,1961,6265,,,0.279705882
Systematic POR,Point,,,1962,4425,,,0.488823529
Systematic POR,Point,,,1963,3418,,,0.756029412
Systematic POR,Point,,,1964,2811,,,0.860588235
Systematic POR,Point,,,1965,22655,,,0.004166667
Systematic POR,Point,,,1966,2800,,,0.872205882
Systematic POR,Point,,,1967,3103,,,0.825735294
Systematic POR,Point,,,1968,4073,,,0.593382353
Systematic POR,Point,,,1969,3516,,,0.709558824
Systematic POR,Point,,,1970,6503,,,0.268088235
Systematic POR,Point,,,1971,11933,,,0.024117647
Systematic POR,Point,,,1972,8407,,,0.151911765
Systematic POR,Point,,,1973,3233,,,0.790882353
Systematic POR,Point,,,1974,6043,,,0.302941176
Systematic POR,Point,,,1975,4800,,,0.395882353
Systematic POR,Point,,,1976,4010,,,0.616617647
Systematic POR,Point,,,1977,493,,,0.988382353
Systematic POR,Point,,,1978,8877,,,0.093823529
Systematic POR,Point,,,1979,3503,,,0.721176471
Systematic POR,Point,,,1980,8450,,,0.140294118
Systematic POR,Point,,,1981,5363,,,0.372647059
Systematic POR,Point,,,1982,7433,,,0.221617647
Systematic POR,Point,,,1983,4477,,,0.465588235
Systematic POR,Point,,,1984,5603,,,0.326176471
Systematic POR,Point,,,1985,4037,,,0.605
Systematic POR,Point,,,1986,9123,,,0.082205882
Systematic POR,Point,,,1987,2947,,,0.848970588
Systematic POR,Point,,,1988,3577,,,0.674705882
Systematic POR,Point,,,1989,3527,,,0.686323529
Systematic POR,Point,,,1990,4663,,,0.430735294
Systematic POR,Point,,,1991,3883,,,0.639852941
Systematic POR,Point,,,1992,4220,,,0.570147059
Systematic POR,Point,,,1993,1927,,,0.953529412
Systematic POR,Point,,,1994,2413,,,0.930294118
Systematic POR,Point,,,1995,6567,,,0.256470588
Systematic POR,Point,,,1996,11107,,,0.035735294
Systematic POR,Point,,,1997,8330,,,0.163529412
Systematic POR,Point,,,1998,4003,,,0.628235294
Systematic POR,Point,,,1999,6067,,,0.291323529
Systematic POR,Point,,,2000,5873,,,0.314558824
Systematic POR,Point,,,2001,1103,,,0.976764706
Systematic POR,Point,,,2002,3180,,,0.8025
Systematic POR,Point,,,2003,4817,,,0.384264706
Systematic POR,Point,,,2004,4340,,,0.523676471
Systematic POR,Point,,,2005,4697,,,0.419117647
Systematic POR,Point,,,2006,7663,,,0.21
Systematic POR,Point,,,2007,4463,,,0.477205882
Systematic POR,Point,,,2008,3493,,,0.744411765
Systematic POR,Point,,,2009,4243,,,0.558529412
Systematic POR,Point,,,2010,2500,,,0.918676471
Systematic POR,Point,,,2011,7769,,,0.198382353
Systematic POR,Point,,,2012,5506,,,0.337794118
Systematic POR,Point,,,2013,4738,,,0.4075
Systematic POR,Point,,,2014,8028,,,0.175147059
Systematic POR,Point,,,2015,8737,,,0.117058824
Systematic POR,Point,,,2016,4078,,,0.581764706
Systematic POR,Point,,,2017,3152,,,0.814117647
Systematic POR,Point,,,2018,3007,,,0.837352941
Systematic POR,Point,,,2019,2611,,,0.907058824
Systematic POR,Point,,,2020,3359,,,0.767647059
Systematic POR,Point,,,2021,3752,,,0.663088235
