exact data,,,,inteval data,,,,,,threshold data,,,,right exceedance,,
year,flow,plotting position,,year,lower,most likely,upper,plotting position,,start year,end year,flow,,year,most likely,upper
1927,5470,0.361029412,,1862,12000,17800,23000,0.008333333,,1863,1926,17790,,,,
1930,3522,0.697941176,,,,,,,,1928,1929,17790,,,,
1934,4348,0.512058824,,,,,,,,1931,1933,17790,,,,
1935,4657,0.442352941,,,,,,,,1937,1937,17790,,,,
1936,4280,0.546911765,,,,,,,,1939,1939,17790,,,,
1938,4376,0.500441176,,,,,,,,1949,1949,17790,,,,
1940,2387,0.941911765,,,,,,,,1951,1951,17790,,,,
1941,1795,0.965147059,,,,,,,,1955,1955,17790,,,,
1942,3785,0.651470588,,,,,,,,,,,,,,
1943,9626,0.070588235,,,,,,,,,,,,,,
1944,2621,0.895441176,,,,,,,,,,,,,,
1945,4643,0.453970588,,,,,,,,,,,,,,
1946,9650,0.058970588,,,,,,,,,,,,,,
1947,8504,0.128676471,,,,,,,,,,,,,,
1948,6976,0.244852941,,,,,,,,,,,,,,
1950,4316,0.535294118,,,,,,,,,,,,,,
1952,3503,0.732794118,,,,,,,,,,,,,,
1953,8829,0.105441176,,,,,,,,,,,,,,
1954,7212,0.233235294,,,,,,,,,,,,,,
1956,10049,0.047352941,,,,,,,,,,,,,,
1957,7875,0.186764706,,,,,,,,,,,,,,
1958,5474,0.349411765,,,,,,,,,,,,,,
1959,3291,0.779264706,,,,,,,,,,,,,,
1960,2680,0.883823529,,,,,,,,,,,,,,
1961,6265,0.279705882,,,,,,,,,,,,,,
1962,4425,0.488823529,,,,,,,,,,,,,,
1963,3418,0.756029412,,,,,,,,,,,,,,
1964,2811,0.860588235,,,,,,,,,,,,,,
1965,22655,0.004166667,,,,,,,,,,,,,,
1966,2800,0.872205882,,,,,,,,,,,,,,
1967,3103,0.825735294,,,,,,,,,,,,,,
1968,4073,0.593382353,,,,,,,,,,,,,,
1969,3516,0.709558824,,,,,,,,,,,,,,
1970,6503,0.268088235,,,,,,,,,,,,,,
1971,11933,0.024117647,,,,,,,,,,,,,,
1972,8407,0.151911765,,,,,,,,,,,,,,
1973,3233,0.790882353,,,,,,,,,,,,,,
1974,6043,0.302941176,,,,,,,,,,,,,,
1975,4800,0.395882353,,,,,,,,,,,,,,
1976,4010,0.616617647,,,,,,,,,,,,,,
1977,493,0.988382353,,,,,,,,,,,,,,
1978,8877,0.093823529,,,,,,,,,,,,,,
1979,3503,0.721176471,,,,,,,,,,,,,,
1980,8450,0.140294118,,,,,,,,,,,,,,
1981,5363,0.372647059,,,,,,,,,,,,,,
1982,7433,0.221617647,,,,,,,,,,,,,,
1983,4477,0.465588235,,,,,,,,,,,,,,
1984,5603,0.326176471,,,,,,,,,,,,,,
1985,4037,0.605,,,,,,,,,,,,,,
1986,9123,0.082205882,,,,,,,,,,,,,,
1987,2947,0.848970588,,,,,,,,,,,,,,
1988,3577,0.674705882,,,,,,,,,,,,,,
1989,3527,0.686323529,,,,,,,,,,,,,,
1990,4663,0.430735294,,,,,,,,,,,,,,
1991,3883,0.639852941,,,,,,,,,,,,,,
1992,4220,0.570147059,,,,,,,,,,,,,,
1993,1927,0.953529412,,,,,,,,,,,,,,
1994,2413,0.930294118,,,,,,,,,,,,,,
1995,6567,0.256470588,,,,,,,,,,,,,,
1996,11107,0.035735294,,,,,,,,,,,,,,
1997,8330,0.163529412,,,,,,,,,,,,,,
1998,4003,0.628235294,,,,,,,,,,,,,,
1999,6067,0.291323529,,,,,,,,,,,,,,
2000,5873,0.314558824,,,,,,,,,,,,,,
2001,1103,0.976764706,,,,,,,,,,,,,,
2002,3180,0.8025,,,,,,,,,,,,,,
2003,4817,0.384264706,,,,,,,,,,,,,,
2004,4340,0.523676471,,,,,,,,,,,,,,
2005,4697,0.419117647,,,,,,,,,,,,,,
2006,7663,0.21,,,,,,,,,,,,,,
2007,4463,0.477205882,,,,,,,,,,,,,,
2008,3493,0.744411765,,,,,,,,,,,,,,
2009,4243,0.558529412,,,,,,,,,,,,,,
2010,2500,0.918676471,,,,,,,,,,,,,,
2011,7769,0.198382353,,,,,,,,,,,,,,
2012,5506,0.337794118,,,,,,,,,,,,,,
2013,4738,0.4075,,,,,,,,,,,,,,
2014,8028,0.175147059,,,,,,,,,,,,,,
2015,8737,0.117058824,,,,,,,,,,,,,,
2016,4078,0.581764706,,,,,,,,,,,,,,
2017,3152,0.814117647,,,,,,,,,,,,,,
2018,3007,0.837352941,,,,,,,,,,,,,,
2019,2611,0.907058824,,,,,,,,,,,,,,
2020,3359,0.767647059,,,,,,,,,,,,,,
2021,3752,0.663088235,,,,,,,,,,,,,,
