Date,WY,Flow ,Source
"28 Nov 1927, 24:00",1927,5470,2022 Unregulated Study
"19 Dec 1929, 24:00",1930,3522,2022 Unregulated Study
"23 Jan 1934, 24:00",1934,4348,2022 Unregulated Study
"20 Dec 1934, 24:00",1935,4657,2022 Unregulated Study
"04 Jan 1936, 24:00",1936,4280,2022 Unregulated Study
"22 Jan 1938, 24:00",1938,4376,2022 Unregulated Study
"28 Feb 1940, 24:00",1940,2387,2022 Unregulated Study
"22 Jan 1941, 24:00",1941,1795,2022 Unregulated Study
"22 Dec 1941, 24:00",1942,3785,2022 Unregulated Study
"01 Jan 1943, 01:00",1943,9626,2022 Unregulated Study
"04 Nov 1943, 24:00",1944,2621,2022 Unregulated Study
"13 Feb 1945, 24:00",1945,4643,2022 Unregulated Study
"28 Dec 1945, 19:00",1946,9650,2022 Unregulated Study
"14 Dec 1946, 07:00",1947,8504,2022 Unregulated Study
"07 Jan 1948, 24:00",1948,6976,2022 Unregulated Study
"24 Feb 1950, 24:00",1950,4316,2022 Unregulated Study
"06 Feb 1952, 24:00",1952,3503,2022 Unregulated Study
"18 Jan 1953, 24:00",1953,8829,2022 Unregulated Study
"23 Nov 1953, 24:00",1954,7212,2022 Unregulated Study
"22 Dec 1955, 04:00",1956,10049,2022 Unregulated Study
"11 Dec 1956, 24:00",1957,7875,2022 Unregulated Study
"16 Feb 1958, 24:00",1958,5474,2022 Unregulated Study
"27 Jan 1959, 24:00",1959,3291,2022 Unregulated Study
"08 Feb 1960, 24:00",1960,2680,2022 Unregulated Study
"16 Feb 1961, 24:00",1961,6265,2022 Unregulated Study
"24 Dec 1961, 24:00",1962,4425,2022 Unregulated Study
"03 Feb 1963, 24:00",1963,3418,2022 Unregulated Study
"08 Nov 1963, 24:00",1964,2811,2022 Unregulated Study
"22 Dec 1964, 18:00",1965,22655,2022 Unregulated Study
"06 Jan 1966, 24:00",1966,2800,2022 Unregulated Study
"28 Jan 1967, 24:00",1967,3103,2022 Unregulated Study
"23 Feb 1968, 24:00",1968,4073,2022 Unregulated Study
"09 Nov 1968, 24:00",1969,3516,2022 Unregulated Study
"23 Jan 1970, 24:00",1970,6503,CWMS
"18 Jan 1971, 24:00",1971,11933,CWMS
"21 Jan 1972, 24:00",1972,8407,CWMS
"21 Dec 1972, 24:00",1973,3233,CWMS
"16 Jan 1974, 24:00",1974,6043,CWMS
"26 Jan 1975, 24:00",1975,4800,CWMS
"06 Dec 1975, 24:00",1976,4010,CWMS
"28 Feb 1977, 24:00",1977,493,CWMS
"15 Dec 1977, 24:00",1978,8877,CWMS
"06 Dec 1978, 24:00",1979,3503,CWMS
"15 Jan 1980, 24:00",1980,8450,CWMS
"27 Dec 1980, 24:00",1981,5363,CWMS
"21 Feb 1982, 24:00",1982,7433,CWMS
"06 Dec 1982, 24:00",1983,4477,CWMS
"15 Feb 1984, 24:00",1984,5603,CWMS
"04 Nov 1984, 24:00",1985,4037,CWMS
"24 Feb 1986, 24:00",1986,9123,CWMS
"23 Nov 1986, 24:00",1987,2947,CWMS
"12 Jan 1988, 24:00",1988,3577,CWMS
"11 Jan 1989, 24:00",1989,3527,CWMS
"09 Jan 1990, 24:00",1990,4663,CWMS
"15 Jan 1991, 24:00",1991,3883,CWMS
"08 Dec 1991, 24:00",1992,4220,CWMS
"24 Nov 1992, 24:00",1993,1927,CWMS
"05 Jan 1994, 24:00",1994,2413,CWMS
"02 Feb 1995, 24:00",1995,6567,CWMS
"09 Feb 1996, 24:00",1996,11107,CWMS
"27 Dec 1996, 24:00",1997,8330,CWMS
"17 Jan 1998, 24:00",1998,4003,CWMS
"30 Dec 1998, 24:00",1999,6067,CWMS
"27 Nov 1999, 24:00",2000,5873,CWMS
"24 Dec 2000, 24:00",2001,1103,CWMS
"16 Dec 2001, 24:00",2002,3180,CWMS
"01 Feb 2003, 24:00",2003,4817,CWMS
"15 Dec 2003, 24:00",2004,4340,CWMS
"11 Dec 2004, 24:00",2005,4697,CWMS
"01 Jan 2006, 24:00",2006,7663,CWMS
"15 Dec 2006, 24:00",2007,4463,CWMS
"19 Nov 2007, 24:00",2008,3493,CWMS
"30 Dec 2008, 24:00",2009,4243,CWMS
"07 Jan 2010, 24:00",2010,2500,CWMS
"18 Jan 2011, 24:00",2011,7769,CWMS
"26 Jan 2012, 24:00",2012,5506,CWMS
"06 Dec 2012, 24:00",2013,4738,CWMS
"14 Feb 2014, 24:00",2014,8028,CWMS
"23 Dec 2014, 24:00",2015,8737,CWMS
"19 Dec 2015, 24:00",2016,4078,CWMS
"11 Feb 2017, 24:00",2017,3152,CWMS
"24 Nov 2017, 24:00",2018,3007,CWMS
"21 Jan 2019, 24:00",2019,2611,CWMS
"30 Jan 2020, 24:00",2020,3359,CWMS
"22 Dec 2020, 24:00",2021,3752,CWMS
