DT,Vida_peak,Vida_3day
"15 Jan 1900, 24:00",30801,21497
"15 Jan 1901, 24:00",49832,32455
"26 Jan 1903, 24:00",50192,31917
"17 Feb 1904, 24:00",30006,21420
"31 Dec 1904, 24:00",20602,14147
"25 Feb 1906, 24:00",15946,12331
"06 Feb 1907, 24:00",47838,32829
"27 Dec 1907, 24:00",40818,26577
"22 Jan 1909, 24:00",28604,22365
"24 Nov 1909, 24:00",48927,31162
"20 Jan 1911, 24:00",20086,16115
"14 Jan 1912, 24:00",33748,23275
"01 Apr 1913, 24:00",22957,17355
"26 Jan 1914, 24:00",17709,14817
"15 Jan 1915, 24:00",14536,10281
"08 Feb 1916, 24:00",37602,25902
"04 Feb 1925, 24:00",26700,23015
"06 Feb 1926, 24:00",24400,20167
"20 Feb 1927, 24:00",47200,26120
"28 Nov 1927, 24:00",28600,20681
"21 Mar 1929, 24:00",18900,11811
"19 Dec 1929, 24:00",30100,13937
"01 Apr 1931, 24:00",38000,23733
"18 Mar 1932, 24:00",37400,24653
"09 Jun 1933, 24:00",24900,18468
"23 Jan 1934, 24:00",25600,16836
"20 Dec 1934, 24:00",23400,17904
"04 Jan 1936, 24:00",23700,16599
"14 Apr 1937, 24:00",25300,19814
"22 Jan 1938, 24:00",28000,16932
"01 Jan 1943, 01:00",49000,34331
"04 Nov 1943, 24:00",20800,10693
"13 Feb 1945, 24:00",26600,17857
"28 Dec 1945, 19:00",62110,34407
"14 Dec 1946, 07:00",38666,30721
"07 Jan 1948, 24:00",39200,26641
"12 Dec 1948, 24:00",36300,20324
"24 Feb 1950, 24:00",25600,18078
"29 Oct 1950, 24:00",35600,20904
"18 Jan 1953, 24:00",51800,33555
"23 Nov 1953, 24:00",39400,25673
"31 Dec 1954, 24:00",18500,12320
"22 Dec 1955, 24:00",51700,38737
"11 Dec 1956, 24:00",46000,26334
"20 Dec 1957, 24:00",33700,22980
"27 Jan 1959, 24:00",23400,14707
"30 Mar 1960, 24:00",14300,11638
"10 Feb 1961, 24:00",38800,27308
"03 Feb 1963, 05:00",21400,15220
"09 Nov 1963, 04:00",22855,13030
"22 Dec 1964, 20:00",91485,63726
"07 Jan 1966, 07:00",25111,14934
"28 Jan 1967, 19:00",24754,15713
"22 Feb 1968, 21:00",30899,19324
"09 Nov 1968, 21:00",29700,16265
"23 Jan 1970, 08:00",34615,23066
"18 Jan 1971, 13:00",57728,39427
"21 Jan 1972, 14:00",53958,32925
"22 Dec 1972, 19:00",19662,12758
"15 Jan 1974, 23:00",31185,24025
"21 Dec 1974, 10:00",26787,16618
"09 Jan 1976, 01:00",31434,19208
"14 Dec 1977, 14:00",43920,32969
"05 Dec 1978, 07:00",24677,12047
"13 Jan 1980, 19:00",41557,28160
"26 Dec 1980, 04:00",33211,21965
"06 Dec 1981, 12:00",39273,22022
"13 Feb 1984, 20:00",35470,20005
"03 Nov 1984, 02:00",22644,14946
"23 Feb 1986, 20:00",50103,34421
"28 Nov 1986, 06:00",20443,15150
"28 Apr 1990, 04:00",30967,18875
"15 Jan 1991, 12:00",16626,14502
"07 Dec 1991, 03:00",22650,15520
"18 Mar 1993, 10:00",24033,20628
"03 Jan 1994, 07:00",13430,9705
"14 Jan 1995, 01:00",30104,22297
"07 Feb 1996, 13:00",61863,43581
"19 Nov 1996, 10:00",49077,31123
"17 Jan 1998, 08:00",19612,14419
"28 Dec 1998, 07:00",42267,26892
"26 Nov 1999, 06:00",43610,23533
"16 May 2001, 06:00",9561,7378
"14 Apr 2002, 08:00",26794,15949
"30 Jan 2003, 20:00",26809,17661
"13 Dec 2003, 20:00",32670,16097
"09 Dec 2004, 22:00",18305,14728
"31 Dec 2005, 01:00",43659,28163
"14 Dec 2006, 17:00",27092,19242
"17 Nov 2007, 20:00",17789,13100
"02 Jan 2009, 09:00",28427,18181
"02 Jun 2010, 23:00",18547,15187
"16 Jan 2011, 21:00",50179,27586
"19 Jan 2012, 16:00",30772,22701
"05 Dec 2012, 05:00",30818,19410
"14 Feb 2014, 15:00",35878,29899
"21 Dec 2014, 23:00",41611,29747
"18 Dec 2015, 06:00",24960,17205
"09 Mar 2017, 23:00",22887,16063
"08 Apr 2019, 17:00",41776,32502
"28 Jan 2020, 23:00",16507,13438
"20 Dec 2020, 19:00",25470,16142
