Rank,Plotting_Position,Stage_ft,Date
1,0.03125,"1,700.08",4/30/1990
2,0.0625,"1,699.38",6/13/1977
3,0.09375,"1,697.68",6/10/1985
4,0.125,"1,696.88",6/30/1972
5,0.15625,"1,696.78",5/16/1979
6,0.1875,"1,696.78",6/4/1980
7,0.21875,"1,696.38",6/4/1998
8,0.25,"1,696.28",6/13/1982
9,0.28125,"1,696.28",6/8/1984
10,0.3125,"1,696.28",6/2/1997
11,0.34375,"1,696.18",6/19/1996
12,0.375,"1,695.98",6/27/1971
13,0.40625,"1,695.88",7/7/2000
14,0.4375,"1,695.58",5/31/1975
15,0.46875,"1,695.58",7/1/1981
16,0.5,"1,695.58",6/8/1995
17,0.53125,"1,695.48",5/14/1991
18,0.5625,"1,695.38",6/26/1974
19,0.59375,"1,695.38",6/3/1988
20,0.625,"1,695.18",5/26/1989
21,0.65625,"1,695.18",6/2/1993
22,0.6875,"1,694.98",5/17/1983
23,0.71875,"1,694.88",5/19/1999
24,0.75,"1,694.68",5/16/1976
25,0.78125,"1,694.68",5/24/1986
26,0.8125,"1,692.48",7/2/1994
27,0.84375,"1,689.78",6/30/1973
28,0.875,"1,688.98",7/21/1978
29,0.90625,"1,682.68",6/9/1987
30,0.9375,"1,669.38",5/30/1992
31,0.96875,"1,626.48",10/1/2001
