"# In the Willamette Basin, every agency and group has a slightly different naming convention",,,,,,,,,,,
# This file is the definitive source to lookup naming conventions,,,,,,,,,,,
# This is intended to be the master list that can be retrieved by scripts to convert between naming conventions if necessary,,,,,,,,,,,
# The first column is used to keep the file in order from upstream to downstream,,,,,,,,,,,
#The # character can be used to denote a comment line,,,,,,,,,,,
"#You can add additional columns with no problem or rearrange the columns, but don't rename them",,,,,,,,,,,
ORDER_ID,NAME,POINT_TYPE,RIVER,MODIFIED_FLOW_CODE,CWMS_CODE,CWMS_NAME,RESSIM_NAME,NWRFC_CODE,USGS_CODE,USGS_NAME,NOTES
1,Hills Creek,Reservoir,Middle Fork Willamette,HCR,HCR,Hills Creek Dam,Hills Creek,HCRO3,,,
2,Lookout Point,Reservoir,Middle Fork Willamette,LOP,LOP,Lookout Point Dam,Lookout Point,LOPO3,,,
3,Dexter,Reservoir,Middle Fork Willamette,DEX,DEX,Dexter Dam,Dexter,,,,
4,Fall Creek,Reservoir,Fall Creek,FAL,FAL,Fall Creek Dam,Fall Creek,FALO3,,,
5,Jasper,Junction,Middle Fork Willamette,,JASO,,MF Willamette_at Jasper,,,,
6,Cottage Grove,Reservoir,Coast Fork Willamette,COT,COT,Cottage Grove Dam,Cottage Grove,COTO3,,,
7,Dorena,Reservoir,Row,DOR,DOR,Dorena Dam,Dorena,DORO3,,,
8,Goshen,Junction,Coast Fork Willamette,,GOSO,,CF Willamette_nr Goshen,,,,
9,Cougar,Reservoir,South Fork McKenzie,CGR,CGR,Cougar Dam,Cougar,CGRO3,,,
10,Blue River,Reservoir,Blue,BLU,BLU,Blue River Dam,Blue River,BLUO3,,,
11,Vida,Junction,McKenzie,,VIDO,,McKenzie_at Vida,,,,
12,Harrisburg,Junction,Willamette,,HARO,,Willamette_at Harrisburg,,,,
13,Fern Ridge,Reservoir,Long Tom,FRN,FRN,Fern Ridge Dam,Fern Ridge,FRNO3,,,
14,Monroe,Junction,Long Tom,,MNRO,,Long Tom_at Monroe,,,,
15,Albany,Junction,Willamette,ALB,ALBO,,Willamette_at Albany,,,,
16,Green Peter,Reservoir,Middle Santiam,GPR,GPR,Green Peter Reservoir,Green Peter,GPRO3,,,
17,Foster,Reservoir,South Santiam,FOS,FOS,Foster Reservoir,Foster,FOSO3,,,
18,Waterloo,Junction,South Santiam,,WTLO,,So Santiam_at Waterloo,,,,
19,Detroit,Reservoir,North Santiam,DET,DET,Detroit Dam,Detroit,DETO3,,,
20,Big Cliff,Reservoir,North Santiam,BCL,BCL,Big Cliff Dam,Big Cliff,,,,
21,Mehama,Junction,North Santiam,,MEHO,,No Santiam_at Mehama,,,,
22,Jefferson,Junction,Santiam,,JFFO,,Santiam_at Jefferson,,,,
23,Salem,Junction,Willamette,SLM,SLMO,Salem,Willamette_at Salem,SLMO3,14191000,Willamette River at Salem OR,
24,Willamette Falls,Reservoir,Willamette,SVN,ORC,Willamette River above Falls,Willamette_abv Falls at Oregon City,ORCO3,14207740,Willamette River above Falls at Oregon City OR    ,
